Battalion,Station Area,year,month,value,Division
Battalion 03,Station Area 13,2011,4,91,Division 03
Battalion 03,Station Area 13,2011,5,71,Division 03
Battalion 03,Station Area 13,2011,6,103,Division 03
Battalion 03,Station Area 13,2011,7,84,Division 03
Battalion 03,Station Area 13,2011,8,86,Division 03
Battalion 03,Station Area 13,2011,9,91,Division 03
Battalion 03,Station Area 13,2011,10,101,Division 03
Battalion 03,Station Area 13,2011,11,128,Division 03
Battalion 03,Station Area 13,2011,12,108,Division 03
Battalion 03,Station Area 13,2012,1,86,Division 03
Battalion 03,Station Area 13,2012,2,84,Division 03
Battalion 03,Station Area 13,2012,3,145,Division 03
Battalion 03,Station Area 13,2012,4,87,Division 03
Battalion 03,Station Area 13,2012,5,97,Division 03
Battalion 03,Station Area 13,2012,6,80,Division 03
Battalion 03,Station Area 13,2012,7,116,Division 03
Battalion 03,Station Area 13,2012,8,125,Division 03
Battalion 03,Station Area 13,2012,9,150,Division 03
Battalion 03,Station Area 13,2012,10,107,Division 03
Battalion 03,Station Area 13,2012,11,90,Division 03
Battalion 03,Station Area 13,2012,12,80,Division 03
Battalion 03,Station Area 13,2013,1,73,Division 03
Battalion 03,Station Area 13,2013,2,75,Division 03
Battalion 03,Station Area 13,2013,3,71,Division 03
Battalion 03,Station Area 13,2013,4,79,Division 03
Battalion 03,Station Area 13,2013,5,117,Division 03
Battalion 03,Station Area 13,2013,6,124,Division 03
Battalion 03,Station Area 13,2013,7,63,Division 03
Battalion 03,Station Area 13,2013,8,92,Division 03
Battalion 03,Station Area 13,2013,9,99,Division 03
Battalion 03,Station Area 13,2013,10,69,Division 03
Battalion 03,Station Area 13,2013,11,71,Division 03
Battalion 03,Station Area 13,2013,12,70,Division 03
Battalion 03,Station Area 13,2014,1,100,Division 03
Battalion 03,Station Area 13,2014,2,55,Division 03
Battalion 03,Station Area 13,2014,3,66,Division 03
Battalion 03,Station Area 13,2014,4,78,Division 03
Battalion 03,Station Area 13,2014,5,75,Division 03
Battalion 03,Station Area 13,2014,6,110,Division 03
Battalion 03,Station Area 13,2014,7,57,Division 03
Battalion 03,Station Area 13,2014,8,75,Division 03
Battalion 03,Station Area 13,2014,9,82,Division 03
Battalion 03,Station Area 13,2014,10,117,Division 03
Battalion 03,Station Area 13,2014,11,90,Division 03
Battalion 03,Station Area 13,2014,12,115,Division 03
Battalion 03,Station Area 13,2015,1,100,Division 03
Battalion 03,Station Area 13,2015,2,71,Division 03
Battalion 03,Station Area 13,2015,3,104,Division 03
Battalion 03,Station Area 13,2015,4,94,Division 03
Battalion 03,Station Area 13,2015,5,93,Division 03
Battalion 03,Station Area 13,2015,6,102,Division 03
Battalion 03,Station Area 13,2015,7,91,Division 03
Battalion 03,Station Area 13,2015,8,98,Division 03
Battalion 03,Station Area 13,2015,9,83,Division 03
Battalion 03,Station Area 13,2015,10,107,Division 03
Battalion 03,Station Area 13,2015,11,106,Division 03
Battalion 03,Station Area 13,2015,12,119,Division 03
Battalion 03,Station Area 13,2016,1,166,Division 03
Battalion 03,Station Area 13,2016,2,117,Division 03
Battalion 03,Station Area 13,2016,3,106,Division 03
Battalion 03,Station Area 13,2016,4,70,Division 03
Battalion 03,Station Area 13,2016,5,71,Division 03
Battalion 03,Station Area 13,2016,6,85,Division 03
Battalion 03,Station Area 13,2016,7,84,Division 03
Battalion 03,Station Area 13,2016,8,79,Division 03
Battalion 03,Station Area 13,2016,9,67,Division 03
Battalion 03,Station Area 13,2016,10,83,Division 03
Battalion 03,Station Area 13,2016,11,89,Division 03
Battalion 03,Station Area 13,2016,12,115,Division 03
Battalion 03,Station Area 13,2017,1,93,Division 03
Battalion 03,Station Area 13,2017,2,133,Division 03
Battalion 03,Station Area 13,2017,3,94,Division 03
Battalion 03,Station Area 13,2017,4,115,Division 03
Battalion 03,Station Area 13,2017,5,111,Division 03
Battalion 03,Station Area 13,2017,6,156,Division 03
Battalion 03,Station Area 13,2017,7,104,Division 03
Battalion 03,Station Area 13,2017,8,95,Division 03
Battalion 03,Station Area 13,2017,9,109,Division 03
Battalion 03,Station Area 13,2017,10,108,Division 03
Battalion 03,Station Area 13,2017,11,150,Division 03
Battalion 03,Station Area 13,2017,12,172,Division 03
Battalion 03,Station Area 13,2018,1,190,Division 03
Battalion 03,Station Area 13,2018,2,130,Division 03
Battalion 03,Station Area 13,2018,3,156,Division 03
Battalion 03,Station Area 13,2018,4,101,Division 03
Battalion 03,Station Area 13,2018,5,134,Division 03
Battalion 03,Station Area 13,2018,6,174,Division 03
Battalion 03,Station Area 13,2018,7,142,Division 03
Battalion 03,Station Area 13,2018,8,146,Division 03
Battalion 03,Station Area 13,2018,9,128,Division 03
Battalion 03,Station Area 13,2018,10,149,Division 03
Battalion 03,Station Area 13,2018,11,153,Division 03
Battalion 03,Station Area 13,2018,12,113,Division 03
Battalion 03,Station Area 13,2019,1,143,Division 03
Battalion 03,Station Area 13,2019,2,132,Division 03
Battalion 03,Station Area 13,2019,3,104,Division 03
Battalion 03,Station Area 13,2019,4,112,Division 03
Battalion 03,Station Area 13,2019,5,132,Division 03
Battalion 03,Station Area 13,2019,6,129,Division 03
Battalion 03,Station Area 13,2019,7,117,Division 03
Battalion 03,Station Area 13,2019,8,123,Division 03
Battalion 03,Station Area 13,2019,9,135,Division 03
Battalion 03,Station Area 13,2019,10,155,Division 03
Battalion 03,Station Area 13,2019,11,142,Division 03
Battalion 03,Station Area 13,2019,12,135,Division 03
Battalion 03,Station Area 13,2020,1,98,Division 03
Battalion 03,Station Area 13,2020,2,96,Division 03
Battalion 03,Station Area 13,2020,3,100,Division 03
Battalion 03,Station Area 13,2020,4,24,Division 03
Battalion 03,Station Area 14,2005,2,2,Division 03
Battalion 03,Station Area 14,2009,10,2,Division 03
Battalion 03,Station Area 14,2016,12,1,Division 03
Battalion 03,Station Area 15,2001,10,2,Division 03
Battalion 03,Station Area 15,2009,11,18,Division 03
Battalion 03,Station Area 15,2013,8,2,Division 03
Battalion 03,Station Area 15,2016,7,1,Division 03
Battalion 03,Station Area 16,2002,5,2,Division 03
Battalion 03,Station Area 16,2008,2,9,Division 03
Battalion 03,Station Area 16,2016,5,1,Division 03
Battalion 03,Station Area 16,2019,8,2,Division 03
Battalion 03,Station Area 17,2003,9,4,Division 03
Battalion 03,Station Area 17,2005,10,2,Division 03
Battalion 03,Station Area 17,2008,11,7,Division 03
Battalion 03,Station Area 17,2013,4,4,Division 03
Battalion 03,Station Area 17,2015,2,2,Division 03
Battalion 03,Station Area 17,2016,7,1,Division 03
Battalion 03,Station Area 18,2012,12,1,Division 03
Battalion 03,Station Area 18,2016,4,1,Division 03
Battalion 03,Station Area 20,2010,9,2,Division 03
Battalion 03,Station Area 21,2004,11,3,Division 03
Battalion 03,Station Area 21,2015,11,2,Division 03
Battalion 03,Station Area 21,2016,11,1,Division 03
Battalion 03,Station Area 22,2004,3,5,Division 03
Battalion 03,Station Area 22,2008,7,3,Division 03
Battalion 03,Station Area 25,2000,7,5,Division 03
Battalion 03,Station Area 25,2003,11,2,Division 03
Battalion 03,Station Area 25,2006,9,2,Division 03
Battalion 03,Station Area 25,2007,12,2,Division 03
Battalion 03,Station Area 25,2009,11,7,Division 03
Battalion 03,Station Area 25,2010,10,12,Division 03
Battalion 03,Station Area 25,2011,6,2,Division 03
Battalion 03,Station Area 25,2012,6,2,Division 03
Battalion 03,Station Area 25,2012,11,2,Division 03
Battalion 03,Station Area 25,2014,5,4,Division 03
Battalion 03,Station Area 25,2014,11,2,Division 03
Battalion 03,Station Area 25,2015,7,11,Division 03
Battalion 03,Station Area 25,2016,1,1,Division 03
Battalion 03,Station Area 25,2016,2,2,Division 03
Battalion 03,Station Area 25,2016,4,1,Division 03
Battalion 03,Station Area 25,2017,3,6,Division 03
Battalion 03,Station Area 25,2017,10,4,Division 03
Battalion 03,Station Area 25,2019,1,3,Division 03
Battalion 03,Station Area 26,2001,9,1,Division 03
Battalion 03,Station Area 27,2000,4,127,Division 03
Battalion 03,Station Area 27,2000,5,305,Division 03
Battalion 03,Station Area 27,2000,6,242,Division 03
Battalion 03,Station Area 27,2000,7,336,Division 03
Battalion 03,Station Area 27,2000,8,248,Division 03
Battalion 03,Station Area 27,2000,9,240,Division 03
Battalion 03,Station Area 27,2000,10,225,Division 03
Battalion 03,Station Area 27,2000,11,257,Division 03
Battalion 03,Station Area 27,2000,12,227,Division 03
Battalion 03,Station Area 27,2001,1,227,Division 03
Battalion 03,Station Area 27,2001,2,248,Division 03
Battalion 03,Station Area 27,2001,3,287,Division 03
Battalion 03,Station Area 27,2001,4,163,Division 03
Battalion 03,Station Area 28,2000,5,7,Division 03
Battalion 03,Station Area 28,2000,6,12,Division 03
Battalion 03,Station Area 28,2000,7,16,Division 03
Battalion 03,Station Area 28,2000,8,2,Division 03
Battalion 03,Station Area 28,2000,9,17,Division 03
Battalion 03,Station Area 28,2000,10,3,Division 03
Battalion 03,Station Area 28,2000,11,7,Division 03
Battalion 03,Station Area 28,2000,12,11,Division 03
Battalion 03,Station Area 28,2001,3,1,Division 03
Battalion 03,Station Area 28,2001,5,4,Division 03
Battalion 03,Station Area 28,2001,6,2,Division 03
Battalion 03,Station Area 28,2001,7,4,Division 03
Battalion 03,Station Area 28,2001,8,22,Division 03
Battalion 03,Station Area 28,2001,10,1,Division 03
Battalion 03,Station Area 28,2001,11,11,Division 03
Battalion 03,Station Area 28,2001,12,12,Division 03
Battalion 03,Station Area 28,2002,2,4,Division 03
Battalion 03,Station Area 28,2002,3,19,Division 03
Battalion 03,Station Area 28,2002,4,4,Division 03
Battalion 03,Station Area 28,2002,5,11,Division 03
Battalion 03,Station Area 28,2002,6,1,Division 03
Battalion 03,Station Area 28,2002,7,9,Division 03
Battalion 03,Station Area 28,2002,8,11,Division 03
Battalion 03,Station Area 28,2002,9,33,Division 03
Battalion 03,Station Area 28,2002,10,1,Division 03
Battalion 03,Station Area 28,2003,1,3,Division 03
Battalion 03,Station Area 28,2003,2,10,Division 03
Battalion 03,Station Area 28,2003,3,15,Division 03
Battalion 03,Station Area 28,2003,4,20,Division 03
Battalion 03,Station Area 28,2003,5,19,Division 03
Battalion 03,Station Area 28,2003,6,26,Division 03
Battalion 03,Station Area 28,2003,7,37,Division 03
Battalion 03,Station Area 28,2003,8,16,Division 03
Battalion 03,Station Area 28,2003,9,8,Division 03
Battalion 03,Station Area 28,2003,10,10,Division 03
Battalion 03,Station Area 28,2003,11,8,Division 03
Battalion 03,Station Area 28,2003,12,3,Division 03
Battalion 03,Station Area 28,2004,1,12,Division 03
Battalion 03,Station Area 28,2004,2,14,Division 03
Battalion 03,Station Area 28,2004,3,5,Division 03
Battalion 03,Station Area 28,2004,4,14,Division 03
Battalion 03,Station Area 28,2004,5,27,Division 03
Battalion 03,Station Area 28,2004,6,10,Division 03
Battalion 03,Station Area 28,2004,7,10,Division 03
Battalion 03,Station Area 28,2004,8,2,Division 03
Battalion 03,Station Area 28,2004,12,7,Division 03
Battalion 03,Station Area 28,2005,2,7,Division 03
Battalion 03,Station Area 28,2005,3,4,Division 03
Battalion 03,Station Area 28,2005,5,8,Division 03
Battalion 03,Station Area 28,2005,6,3,Division 03
Battalion 03,Station Area 28,2005,7,8,Division 03
Battalion 03,Station Area 28,2005,8,2,Division 03
Battalion 03,Station Area 28,2005,9,2,Division 03
Battalion 03,Station Area 28,2005,10,11,Division 03
Battalion 03,Station Area 28,2005,11,10,Division 03
Battalion 03,Station Area 28,2005,12,14,Division 03
Battalion 03,Station Area 28,2006,1,1,Division 03
Battalion 03,Station Area 28,2006,2,2,Division 03
Battalion 03,Station Area 28,2006,3,9,Division 03
Battalion 03,Station Area 28,2006,4,2,Division 03
Battalion 03,Station Area 28,2006,5,1,Division 03
Battalion 03,Station Area 28,2006,7,5,Division 03
Battalion 03,Station Area 28,2006,8,4,Division 03
Battalion 03,Station Area 28,2006,9,9,Division 03
Battalion 03,Station Area 28,2006,10,6,Division 03
Battalion 03,Station Area 28,2006,11,1,Division 03
Battalion 03,Station Area 28,2006,12,6,Division 03
Battalion 03,Station Area 28,2007,1,13,Division 03
Battalion 03,Station Area 28,2007,2,2,Division 03
Battalion 03,Station Area 28,2007,3,2,Division 03
Battalion 03,Station Area 28,2007,4,3,Division 03
Battalion 03,Station Area 28,2007,5,2,Division 03
Battalion 03,Station Area 28,2007,6,5,Division 03
Battalion 03,Station Area 28,2007,7,6,Division 03
Battalion 03,Station Area 28,2007,8,9,Division 03
Battalion 03,Station Area 28,2007,9,9,Division 03
Battalion 03,Station Area 28,2007,10,5,Division 03
Battalion 03,Station Area 28,2007,11,3,Division 03
Battalion 03,Station Area 28,2007,12,9,Division 03
Battalion 03,Station Area 28,2008,1,20,Division 03
Battalion 03,Station Area 28,2008,2,4,Division 03
Battalion 03,Station Area 28,2008,3,6,Division 03
Battalion 03,Station Area 28,2008,4,3,Division 03
Battalion 03,Station Area 28,2008,5,3,Division 03
Battalion 03,Station Area 28,2008,6,3,Division 03
Battalion 03,Station Area 28,2008,7,17,Division 03
Battalion 03,Station Area 28,2008,8,8,Division 03
Battalion 03,Station Area 28,2008,9,9,Division 03
Battalion 03,Station Area 28,2008,10,5,Division 03
Battalion 03,Station Area 28,2008,11,18,Division 03
Battalion 03,Station Area 28,2008,12,8,Division 03
Battalion 03,Station Area 28,2009,1,3,Division 03
Battalion 03,Station Area 28,2009,2,4,Division 03
Battalion 03,Station Area 28,2009,3,3,Division 03
Battalion 03,Station Area 28,2009,6,18,Division 03
Battalion 03,Station Area 28,2009,7,2,Division 03
Battalion 03,Station Area 28,2009,8,5,Division 03
Battalion 03,Station Area 28,2009,9,10,Division 03
Battalion 03,Station Area 28,2009,10,5,Division 03
Battalion 03,Station Area 28,2009,11,5,Division 03
Battalion 03,Station Area 28,2009,12,3,Division 03
Battalion 03,Station Area 28,2010,1,3,Division 03
Battalion 03,Station Area 28,2010,2,9,Division 03
Battalion 03,Station Area 28,2010,3,15,Division 03
Battalion 03,Station Area 28,2010,4,3,Division 03
Battalion 03,Station Area 28,2010,5,9,Division 03
Battalion 03,Station Area 28,2010,6,2,Division 03
Battalion 03,Station Area 28,2010,7,6,Division 03
Battalion 03,Station Area 28,2010,8,3,Division 03
Battalion 03,Station Area 28,2010,9,22,Division 03
Battalion 03,Station Area 28,2010,10,8,Division 03
Battalion 03,Station Area 28,2010,11,4,Division 03
Battalion 03,Station Area 28,2010,12,1,Division 03
Battalion 03,Station Area 28,2011,1,8,Division 03
Battalion 03,Station Area 28,2011,2,5,Division 03
Battalion 03,Station Area 28,2011,3,10,Division 03
Battalion 03,Station Area 28,2011,4,19,Division 03
Battalion 03,Station Area 28,2011,5,9,Division 03
Battalion 03,Station Area 28,2011,6,10,Division 03
Battalion 03,Station Area 28,2011,7,3,Division 03
Battalion 03,Station Area 28,2011,8,11,Division 03
Battalion 03,Station Area 28,2011,9,7,Division 03
Battalion 03,Station Area 28,2011,10,3,Division 03
Battalion 03,Station Area 28,2011,11,21,Division 03
Battalion 03,Station Area 28,2011,12,7,Division 03
Battalion 03,Station Area 28,2012,1,8,Division 03
Battalion 03,Station Area 28,2012,2,2,Division 03
Battalion 03,Station Area 28,2012,4,4,Division 03
Battalion 03,Station Area 28,2012,5,16,Division 03
Battalion 03,Station Area 28,2012,6,10,Division 03
Battalion 03,Station Area 28,2012,7,9,Division 03
Battalion 03,Station Area 28,2012,9,3,Division 03
Battalion 03,Station Area 28,2012,10,13,Division 03
Battalion 03,Station Area 28,2012,11,18,Division 03
Battalion 03,Station Area 28,2012,12,4,Division 03
Battalion 03,Station Area 28,2013,1,1,Division 03
Battalion 03,Station Area 28,2013,2,1,Division 03
Battalion 03,Station Area 28,2013,4,17,Division 03
Battalion 03,Station Area 28,2013,5,5,Division 03
Battalion 03,Station Area 28,2013,6,21,Division 03
Battalion 03,Station Area 28,2013,7,1,Division 03
Battalion 03,Station Area 28,2013,8,7,Division 03
Battalion 03,Station Area 28,2013,9,7,Division 03
Battalion 03,Station Area 28,2013,10,2,Division 03
Battalion 03,Station Area 28,2013,11,4,Division 03
Battalion 03,Station Area 28,2013,12,3,Division 03
Battalion 03,Station Area 28,2014,1,8,Division 03
Battalion 03,Station Area 28,2014,2,8,Division 03
Battalion 03,Station Area 28,2014,3,1,Division 03
Battalion 03,Station Area 28,2014,4,3,Division 03
Battalion 03,Station Area 28,2014,5,1,Division 03
Battalion 03,Station Area 28,2014,6,4,Division 03
Battalion 03,Station Area 28,2014,10,2,Division 03
Battalion 03,Station Area 28,2015,6,3,Division 03
Battalion 03,Station Area 28,2015,12,4,Division 03
Battalion 03,Station Area 28,2016,4,1,Division 03
Battalion 03,Station Area 28,2017,1,2,Division 03
Battalion 03,Station Area 28,2017,4,1,Division 03
Battalion 03,Station Area 28,2019,7,1,Division 03
Battalion 03,Station Area 29,2000,4,50,Division 03
Battalion 03,Station Area 29,2000,5,97,Division 03
Battalion 03,Station Area 29,2000,6,78,Division 03
Battalion 03,Station Area 29,2000,7,76,Division 03
Battalion 03,Station Area 29,2000,8,75,Division 03
Battalion 03,Station Area 29,2000,9,77,Division 03
Battalion 03,Station Area 29,2000,10,97,Division 03
Battalion 03,Station Area 29,2000,11,81,Division 03
Battalion 03,Station Area 29,2000,12,89,Division 03
Battalion 03,Station Area 29,2001,1,109,Division 03
Battalion 03,Station Area 29,2001,2,56,Division 03
Battalion 03,Station Area 29,2001,3,111,Division 03
Battalion 03,Station Area 29,2001,4,74,Division 03
Battalion 03,Station Area 29,2001,5,114,Division 03
Battalion 03,Station Area 29,2001,6,94,Division 03
Battalion 03,Station Area 29,2001,7,123,Division 03
Battalion 03,Station Area 29,2001,8,112,Division 03
Battalion 03,Station Area 29,2001,9,130,Division 03
Battalion 03,Station Area 29,2001,10,123,Division 03
Battalion 03,Station Area 29,2001,11,121,Division 03
Battalion 03,Station Area 29,2001,12,117,Division 03
Battalion 03,Station Area 29,2002,1,100,Division 03
Battalion 03,Station Area 29,2002,2,62,Division 03
Battalion 03,Station Area 29,2002,3,99,Division 03
Battalion 03,Station Area 29,2002,4,102,Division 03
Battalion 03,Station Area 29,2002,5,121,Division 03
Battalion 03,Station Area 29,2002,6,116,Division 03
Battalion 03,Station Area 29,2002,7,109,Division 03
Battalion 03,Station Area 29,2002,8,134,Division 03
Battalion 03,Station Area 29,2002,9,122,Division 03
Battalion 03,Station Area 29,2002,10,99,Division 03
Battalion 03,Station Area 29,2002,11,142,Division 03
Battalion 03,Station Area 29,2002,12,135,Division 03
Battalion 03,Station Area 29,2003,1,168,Division 03
Battalion 03,Station Area 29,2003,2,107,Division 03
Battalion 03,Station Area 29,2003,3,87,Division 03
Battalion 03,Station Area 29,2003,4,128,Division 03
Battalion 03,Station Area 29,2003,5,159,Division 03
Battalion 03,Station Area 29,2003,6,111,Division 03
Battalion 03,Station Area 29,2003,7,120,Division 03
Battalion 03,Station Area 29,2003,8,110,Division 03
Battalion 03,Station Area 29,2003,9,128,Division 03
Battalion 03,Station Area 29,2003,10,101,Division 03
Battalion 03,Station Area 29,2003,11,102,Division 03
Battalion 03,Station Area 29,2003,12,127,Division 03
Battalion 03,Station Area 29,2004,1,96,Division 03
Battalion 03,Station Area 29,2004,2,105,Division 03
Battalion 03,Station Area 29,2004,3,107,Division 03
Battalion 03,Station Area 29,2004,4,104,Division 03
Battalion 03,Station Area 29,2004,5,108,Division 03
Battalion 03,Station Area 29,2004,6,78,Division 03
Battalion 03,Station Area 29,2004,7,129,Division 03
Battalion 03,Station Area 29,2004,8,56,Division 03
Battalion 03,Station Area 29,2004,11,81,Division 03
Battalion 03,Station Area 29,2004,12,130,Division 03
Battalion 03,Station Area 29,2005,1,79,Division 03
Battalion 03,Station Area 29,2005,2,118,Division 03
Battalion 03,Station Area 29,2005,3,145,Division 03
Battalion 03,Station Area 29,2005,4,101,Division 03
Battalion 03,Station Area 29,2005,5,109,Division 03
Battalion 03,Station Area 29,2005,6,92,Division 03
Battalion 03,Station Area 29,2005,7,107,Division 03
Battalion 03,Station Area 29,2005,8,140,Division 03
Battalion 03,Station Area 29,2005,9,102,Division 03
Battalion 03,Station Area 29,2005,10,119,Division 03
Battalion 03,Station Area 29,2005,11,91,Division 03
Battalion 03,Station Area 29,2005,12,117,Division 03
Battalion 03,Station Area 29,2006,1,102,Division 03
Battalion 03,Station Area 29,2006,2,103,Division 03
Battalion 03,Station Area 29,2006,3,67,Division 03
Battalion 03,Station Area 29,2006,4,77,Division 03
Battalion 03,Station Area 29,2006,5,120,Division 03
Battalion 03,Station Area 29,2006,6,165,Division 03
Battalion 03,Station Area 29,2006,7,119,Division 03
Battalion 03,Station Area 29,2006,8,115,Division 03
Battalion 03,Station Area 29,2006,9,96,Division 03
Battalion 03,Station Area 29,2006,10,124,Division 03
Battalion 03,Station Area 29,2006,11,119,Division 03
Battalion 03,Station Area 29,2006,12,132,Division 03
Battalion 03,Station Area 29,2007,1,78,Division 03
Battalion 03,Station Area 29,2007,2,121,Division 03
Battalion 03,Station Area 29,2007,3,156,Division 03
Battalion 03,Station Area 29,2007,4,134,Division 03
Battalion 03,Station Area 29,2007,5,111,Division 03
Battalion 03,Station Area 29,2007,6,101,Division 03
Battalion 03,Station Area 29,2007,7,104,Division 03
Battalion 03,Station Area 29,2007,8,104,Division 03
Battalion 03,Station Area 29,2007,9,99,Division 03
Battalion 03,Station Area 29,2007,10,152,Division 03
Battalion 03,Station Area 29,2007,11,69,Division 03
Battalion 03,Station Area 29,2007,12,91,Division 03
Battalion 03,Station Area 29,2008,1,141,Division 03
Battalion 03,Station Area 29,2008,2,92,Division 03
Battalion 03,Station Area 29,2008,3,114,Division 03
Battalion 03,Station Area 29,2008,4,82,Division 03
Battalion 03,Station Area 29,2008,5,109,Division 03
Battalion 03,Station Area 29,2008,6,111,Division 03
Battalion 03,Station Area 29,2008,7,119,Division 03
Battalion 03,Station Area 29,2008,8,145,Division 03
Battalion 03,Station Area 29,2008,9,121,Division 03
Battalion 03,Station Area 29,2008,10,105,Division 03
Battalion 03,Station Area 29,2008,11,119,Division 03
Battalion 03,Station Area 29,2008,12,118,Division 03
Battalion 03,Station Area 29,2009,1,126,Division 03
Battalion 03,Station Area 29,2009,2,69,Division 03
Battalion 03,Station Area 29,2009,3,142,Division 03
Battalion 03,Station Area 29,2009,4,94,Division 03
Battalion 03,Station Area 29,2009,5,117,Division 03
Battalion 03,Station Area 29,2009,6,116,Division 03
Battalion 03,Station Area 29,2009,7,97,Division 03
Battalion 03,Station Area 29,2009,8,200,Division 03
Battalion 03,Station Area 29,2009,9,146,Division 03
Battalion 03,Station Area 29,2009,10,201,Division 03
Battalion 03,Station Area 29,2009,11,93,Division 03
Battalion 03,Station Area 29,2009,12,121,Division 03
Battalion 03,Station Area 29,2010,1,147,Division 03
Battalion 03,Station Area 29,2010,2,82,Division 03
Battalion 03,Station Area 29,2010,3,146,Division 03
Battalion 03,Station Area 29,2010,4,101,Division 03
Battalion 03,Station Area 29,2010,5,120,Division 03
Battalion 03,Station Area 29,2010,6,170,Division 03
Battalion 03,Station Area 29,2010,7,144,Division 03
Battalion 03,Station Area 29,2010,8,133,Division 03
Battalion 03,Station Area 29,2010,9,133,Division 03
Battalion 03,Station Area 29,2010,10,162,Division 03
Battalion 03,Station Area 29,2010,11,96,Division 03
Battalion 03,Station Area 29,2010,12,149,Division 03
Battalion 03,Station Area 29,2011,1,148,Division 03
Battalion 03,Station Area 29,2011,2,136,Division 03
Battalion 03,Station Area 29,2011,3,151,Division 03
Battalion 03,Station Area 29,2011,4,133,Division 03
Battalion 03,Station Area 29,2011,5,121,Division 03
Battalion 03,Station Area 29,2011,6,102,Division 03
Battalion 03,Station Area 29,2011,7,110,Division 03
Battalion 03,Station Area 29,2011,8,155,Division 03
Battalion 03,Station Area 29,2011,9,163,Division 03
Battalion 03,Station Area 29,2011,10,157,Division 03
Battalion 03,Station Area 29,2011,11,158,Division 03
Battalion 03,Station Area 29,2011,12,103,Division 03
Battalion 03,Station Area 29,2012,1,109,Division 03
Battalion 03,Station Area 29,2012,2,170,Division 03
Battalion 03,Station Area 29,2012,3,127,Division 03
Battalion 03,Station Area 29,2012,4,175,Division 03
Battalion 03,Station Area 29,2012,5,162,Division 03
Battalion 03,Station Area 29,2012,6,150,Division 03
Battalion 03,Station Area 29,2012,7,98,Division 03
Battalion 03,Station Area 29,2012,8,90,Division 03
Battalion 03,Station Area 29,2012,9,148,Division 03
Battalion 03,Station Area 29,2012,10,155,Division 03
Battalion 03,Station Area 29,2012,11,114,Division 03
Battalion 03,Station Area 29,2012,12,151,Division 03
Battalion 03,Station Area 29,2013,1,159,Division 03
Battalion 03,Station Area 29,2013,2,112,Division 03
Battalion 03,Station Area 29,2013,3,114,Division 03
Battalion 03,Station Area 29,2013,4,171,Division 03
Battalion 03,Station Area 29,2013,5,182,Division 03
Battalion 03,Station Area 29,2013,6,118,Division 03
Battalion 03,Station Area 29,2013,7,137,Division 03
Battalion 03,Station Area 29,2013,8,133,Division 03
Battalion 03,Station Area 29,2013,9,157,Division 03
Battalion 03,Station Area 29,2013,10,140,Division 03
Battalion 03,Station Area 29,2013,11,143,Division 03
Battalion 03,Station Area 29,2013,12,152,Division 03
Battalion 03,Station Area 29,2014,1,156,Division 03
Battalion 03,Station Area 29,2014,2,138,Division 03
Battalion 03,Station Area 29,2014,3,161,Division 03
Battalion 03,Station Area 29,2014,4,169,Division 03
Battalion 03,Station Area 29,2014,5,149,Division 03
Battalion 03,Station Area 29,2014,6,176,Division 03
Battalion 03,Station Area 29,2014,7,163,Division 03
Battalion 03,Station Area 29,2014,8,160,Division 03
Battalion 03,Station Area 29,2014,9,151,Division 03
Battalion 03,Station Area 29,2014,10,145,Division 03
Battalion 03,Station Area 29,2014,11,146,Division 03
Battalion 03,Station Area 29,2014,12,188,Division 03
Battalion 03,Station Area 29,2015,1,131,Division 03
Battalion 03,Station Area 29,2015,2,135,Division 03
Battalion 03,Station Area 29,2015,3,141,Division 03
Battalion 03,Station Area 29,2015,4,149,Division 03
Battalion 03,Station Area 29,2015,5,132,Division 03
Battalion 03,Station Area 29,2015,6,100,Division 03
Battalion 03,Station Area 29,2015,7,138,Division 03
Battalion 03,Station Area 29,2015,8,161,Division 03
Battalion 03,Station Area 29,2015,9,119,Division 03
Battalion 03,Station Area 29,2015,10,181,Division 03
Battalion 03,Station Area 29,2015,11,192,Division 03
Battalion 03,Station Area 29,2015,12,137,Division 03
Battalion 03,Station Area 29,2016,1,153,Division 03
Battalion 03,Station Area 29,2016,2,135,Division 03
Battalion 03,Station Area 29,2016,3,140,Division 03
Battalion 03,Station Area 29,2016,4,149,Division 03
Battalion 03,Station Area 29,2016,5,163,Division 03
Battalion 03,Station Area 29,2016,6,153,Division 03
Battalion 03,Station Area 29,2016,7,145,Division 03
Battalion 03,Station Area 29,2016,8,118,Division 03
Battalion 03,Station Area 29,2016,9,141,Division 03
Battalion 03,Station Area 29,2016,10,161,Division 03
Battalion 03,Station Area 29,2016,11,175,Division 03
Battalion 03,Station Area 29,2016,12,167,Division 03
Battalion 03,Station Area 29,2017,1,129,Division 03
Battalion 03,Station Area 29,2017,2,124,Division 03
Battalion 03,Station Area 29,2017,3,177,Division 03
Battalion 03,Station Area 29,2017,4,179,Division 03
Battalion 03,Station Area 29,2017,5,142,Division 03
Battalion 03,Station Area 29,2017,6,151,Division 03
Battalion 03,Station Area 29,2017,7,113,Division 03
Battalion 03,Station Area 29,2017,8,129,Division 03
Battalion 03,Station Area 29,2017,9,178,Division 03
Battalion 03,Station Area 29,2017,10,193,Division 03
Battalion 03,Station Area 29,2017,11,135,Division 03
Battalion 03,Station Area 29,2017,12,171,Division 03
Battalion 03,Station Area 29,2018,1,163,Division 03
